Tarifit (Izran),Normalized,Freq,Categorie,Voorbeeld (Tarifit),Vertaling-hint (NL),Vers#,→ TOEVOEGEN? (ja / nee / variant),Nederlands,Niveau (A1-C2),Woordsoort
=== SECTIE 1: FUNCTIEWOORDEN die ontbreken in woordenlijst ===
"(Aanbeveling: ja, ze zijn allemaal A1-B1 niveau)"
alla,alla,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,Heer/God (aanroep),—,,Heer/God,A1,
as,as,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hem/haar/eraan (IO),—,,hem/haar/eraan,A1,
ayi,ayi,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,mij (post-verbaal),—,,mij,A1,
bismilla,bismilla,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,Bismillah (Arabisch),—,,Bismillah,A1,
bu,bu,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ontk.partikel,—,,ontk.partikel,A1,
ca,ca,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ontk.-suffix,—,,ontk.-suffix,A1,
dayi,dayi,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,aan mij (pre-verbaal),—,,aan mij,A1,
dd,dd,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,venitief partikel (naar hier),—,,venitief partikel,A1,
id,id,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,directioneel (pre-verbaal d),—,,directioneel,A1,
idd,idd,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,venitief na DO,—,,venitief na DO,A1,
llif,llif,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,lief/geliefde,—,,lief/geliefde,A1,
min,min,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,wie/wat (relatief pronomen),—,,wie/wat,A1,
nebda,nebda,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,altijd/ooit,—,,altijd/ooit,A1,
nnec,nnec,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,jouw (bez.suffix),—,,jouw,A1,
nnem,nnem,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,jouw (v.) (bez.suffix),—,,jouw,A1,
nnes,nnes,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,zijn/haar (bezittelijk suffix),—,,zijn/haar,A1,
nneɣ,nneɣ,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ons (bez.suffix),—,,ons,A1,
nniɣ,nniɣ,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ik zei (van ini),—,,ik zei,A1,
nnsen,nnsen,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hun (bez.suffix),—,,hun,A1,
sen,sen,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hen (IO),—,,hen,A1,
ten,ten,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hen (DO),—,,hen,A1,
tenna,tenna,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,zij zei (van ini),—,,zij zei,A1,
tt,tt,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,het/haar (clitic),—,,het/haar,A1,
ura,ura,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,noch/niet,—,,noch/niet,A1,
waa,waa,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ontkenning (niet),—,,ontkenning,A1,
war,war,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,ontkenning (niet),—,,ontkenning,A1,
waxxa,waxxa,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hoewel/ondanks,—,,hoewel/ondanks,A1,
wuř,wuř,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hart (verbonden staat van uř),—,,hart,A1,
xad,xad,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,nadrukspartikel,—,,nadrukspartikel,A1,
ya,ya,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,modaal partikel,—,,modaal partikel,A1,
yenna,yenna,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,hij zei (van ini),—,,hij zei,A1,
řalla,řalla,—,FUNC-WOORD (ontbreekt),zie Izran-tekst,Heer/God (aanroep),—,,Heer/God,A1,

"=== SECTIE 2: LEXICALE KANDIDATEN (freq>=2, len>=4, niet vervoegd) ==="
(Sorteer op Freq om prioriteit te bepalen)
leɛziz,leɛziz,11,ONBEKEND,wi ɣa iraḥen aliman a leɛziz a cem yejj?,"O mijn haren die worden meegenomen in de broekzakken,","10,14,15,16,17",,,,
dayes,dayes,10,ONBEKEND,yenna yi weḍbib d lḥubb i dayes.,"Hij wandelde langs de autoweg,","2,6,22,28,37",,,,
yewdan,yewdan,10,ONBEKEND,weḷḷah war t isedɛef ɣar wawař n yewdan.,"Ik heb van je gedroomd met je witte jurk,","3,8,34,37,40",,,,
cenna,cenna,10,ONBEKEND,"Ɛellal n bumedyen cenna mařa yexdem,","Allal zoon van Boumdian, hij verdient het te werken,","31,32,34,41,44",,,,
degg,degg,9,ONBEKEND,kuřci degg ufus nnem ttu y ayi niɣ fekkar ayi.,"Ik heb van je gedroomd met je witte jurk,","3,6,7,8,21",,,,
xafi,xafi,9,ONBEKEND,Ssenseɣ di baṛṛa iccat xafi wenẓar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,","4,7,11,12,13",,,,
