token,aantal,voorbeeld_ids
waa,100,p66-07; p73-02; p73-03
ayi,53,p63-01; p78-07; p78-09
uca,39,p117-05; p131-09; p134-06
nnes,37,p35-01; p35-04; p35-05
das,37,p65-02; p99-01; p103-07
Yenn,34,p143-12; p143-13; p144-01
min,33,p65-07; p72-05; p81-06
enni,26,p35-03; p68-02; p75-07
dayi,22,p64-08; p78-10; p81-04
yenn,19,p147-07; p148-05; p148-10
ɣari,17,p116-05; p120-05; p129-04
tenni,16,p121-06; p124-07; p135-04
yiwy,15,p28-20; p30-08; p66-06
ten,15,p64-01; p64-06; p93-03
yeqqim,14,p35-03; p36-01; p48-04
cekk,13,p63-03; p87-02; p98-02
waman,12,p26-02; p36-03; p89-03
dinni,12,p30-01; p106-05; p114-08
yus,12,p66-05; p82-09; p86-05
dayes,12,p81-04; p82-03; p101-02
ɛad,12,p101-03; p101-04; p102-03
tamɣaat,11,p29-02; p29-02; p86-05
Tenn,11,p137-01; p140-06; p143-06
nniɣ,11,p157-06; p158-02; p159-08
yas,10,p75-06; p100-07; p101-03
aqq,10,p78-02; p78-03; p78-04
temɣarin,10,p89-01; p92-03; p92-05
texsed,10,p93-09; p94-08; p99-03
nhar,10,p118-12; p119-01; p119-07
illa,10,p126-07; p127-01; p127-02
tenn,10,p137-04; p137-07; p140-02
cwayt,9,p31-05; p89-03; p92-06
Mimun,9,p62-01; p65-03; p65-04
wsiɣ,9,p65-01; p65-03; p65-04
temɣaat,9,p66-01; p83-05; p85-09
cem,9,p74-06; p74-07; p99-04
uyis,9,p82-04; p145-10; p148-12
daneɣ,9,p134-06; p135-01; p135-08
wuaɣ,9,p137-09; p139-02; p139-06
ijj,8,p31-04; p83-04; p111-04
waayaz,8,p36-01; p36-02; p36-06
weɣyur,8,p82-05; p84-06; p84-07
yewdan,8,p89-02; p102-02; p134-01
teggen,8,p102-06; p114-02; p133-02
xac,8,p136-08; p136-08; p141-06
Yekkaa,8,p136-09; p137-11; p141-10
tenyiat,8,p137-09; p139-02; p139-06
