token,kandidaten,aantal,voorbeeld_ids,voorbeeld_en
ɛri,ari (schrijven / to write); aři (klimmen / to climb),5,p135-14; p135-14; p136-05,"‘Ali, my Ali, are you asleep, or are you not yet asleep?’"
qber,qbeř (accepteren / accept); qbeṛ (Ontvangen / Received),3,p75-06; p132-04; p132-05,before he will come
adbib,aḏbib (dokter / doctor); aḏḇiḇ (de arts / the doctor),2,p109-05; p126-05,he is a doctor
tasrit,ṯasřiṯ (de schoondochter (van een man) / the daughter-in-law (of a man)); ṯasṛiṯ (bruid / bride),2,p167-03; p167-05,"Our bride, congratulations o sister,"
ades,aḏes (dichtbij / near); ɛḏes (niezen / sneezing),1,p54-01,to be near
rqa,"řqa (vangen / catch); ṛqa (tegen iets aanlopen, spontaan ontmoeten / bumping into something, meeting spontaneously)",1,p55-04,to meet
ttram,ttřam (duisternis / darkness); ṯṯram (donker / dark),1,p107-02,"the ogress could not see [this explains the situation and is thus immediately relevant to the hearer], it was dark"
reḥrua,"řehrua (kruiden, specerijen / herbs, spices); řeḥrua (specerijen (alleen mv.) / spices (pl. only)); ṛeḥṛua (Kruiden / Spices)",1,p123-02,there was there a tin box that had condiments in it
tiggest,ṯiggesṯ (tatoeage / tattoo); ṯiɣɣesṯ (hikken / hiccup),1,p124-07,"each one to whom he made a tattoo, he spoiled her"
rbuamet,řbuameṯ (couscousstoom-pan / couscous steamer); řḇuameṯ (Pan / Pan),1,p142-13,"An old woman, I don’t know, he kicked over her kettle;"
