token,voorstel,betekenis_woordenlijst,aantal,voorbeeld_ids,voorbeeld_en,status
wenni,Wenni,"Dat, deze / That, these",24,p75-09; p94-04; p95-07,the one that will come here,ja
taddaat,ṯaddaaṯ,huis / house,17,p31-01; p81-07; p85-09,the house of the king,ja
mara,mařa,als / as,15,p93-10; p105-04; p121-01,if you entirely refuse,ja
din,ḏin,daar / there,14,p86-03; p109-07; p123-02,she stayed there until the evening,ja
nettat,nettaṯ,"zij / they, she",11,p83-04; p119-03; p120-02,she has a brother,ja
ameqqran,ameqqṛan,Groot / Big,9,p36-06; p94-04; p95-07,of the big (FS) man (AS),ja
ura,uřa,ook / also,9,p103-06; p116-05; p135-03,"he tried (the shoe) (l) with the girls (one after the other), but it did not fit (P) any of them",ja
tiyuqit,ṯiyuqiṯ,parel / pearl,9,p137-09; p139-02; p139-06,I will give him a son with a golden pearl on his forehead.,ja
trata,ṯřaṯa,drie / three,7,p89-01; p89-07; p95-01,three women (lit. three of women),ja
rebḥaa,řeḇḥaa,"zee, de oceaan / sea, the ocean",6,p31-13; p31-14; p103-04,of the sea,ja
amedduker,ameddukeř,vriend / friend,5,p31-02; p77-02; p77-04,a friend of my brother,ja
barra,ḇarra,buiten / outside,5,p35-03; p36-01; p106-02,"that man (FS), he remained outside",ja
rexxu,řexxu,nu / now,5,p78-06; p94-08; p158-05,lo! now she has woken up,ja
aked,akeḏ,met (samen) / with (together),5,p84-03; p145-13; p146-06,he always fights with his brother,ja
rebɛad,řebɛaḏ,een paar / a few,5,p92-08; p92-09; p154-06,a couple of women,ja
ttmenyat,ttmenyaṯ,geld / money,5,p111-07; p118-11; p124-05,my father has money,ja
rebda,řeḇḏa,Altijd / Always,5,p121-04; p124-03; p131-09,"he is always cunning, he (lit. there is always cunningnecc in him, he)",ja
arreḥmet,aṛṛeḥmeṯ,vriendelijkheid / kindness,5,p155-07; p155-10; p156-08,"talk with the people about religion with compassion,",ja
tɣir,tɣiř,nadenken / think it over,4,p78-08; p78-09; p78-10,they thought she had died (lit. it seemed to them she had died),ja
danita,ḏaniṯa,hier / here,4,p87-02; p153-10; p159-09,somebody came here (who looked) just like you,ja
kur,kuř,elke / each,4,p94-06; p94-07; p94-10,every evening,ja
patrun,paṭrun,"baas, manager / boss, manager",4,p96-06; p96-07; p155-02,their big boss,ja
tammuat,ṯammuaṯ,"land, vloer / country, floor",4,p97-01; p146-02; p146-08,the big country,ja
Mric,Mřič,Melilla / Melilla,4,p105-02; p107-01; p111-05,Melilla is nearby [P],ja
Wah,wah,ja / Yes,4,p140-06; p143-14; p145-01,"She said: - Okay, my daughters, give him to me.",ja
armi,ařmi,tot (voegwoord) / to (conjunction),4,p146-09; p153-08; p157-10,"So he went until he found her, where she herded.",ja
ralla,ṛalla,"mevrouw, vrouw paternale oom / madam, paternal uncle's wife",4,p146-13; p166-02; p167-03,"and he said: - Amazing, mylady!",ja
rḥar,řḥař,situatie / situation,4,p151-05; p157-01; p157-03,"I was happy, I was very pleased. In the end she has eaten him.",ja
ktaa,kṯaa,meer / more,4,p158-03; p158-06; p163-12,He said: ‘There is much morel’,ja
nnit,nniṭ,juist die (nadrukker) / just that (emphasis),3,p68-01; p68-02; p158-12,I will marry her myself,ja
arrud,arruḏ,"kleren, kleding / clothes, garments",3,p75-07; p93-01; p115-09,the clothes that we are going to wear,ja
txadent,ṯxaḏent,ring / ring,3,p78-01; p78-04; p98-01,here is the ring,ja
