"Berbers","Nederlands","niveau","woordsoort","anki_tag"
"bu","(ontkennend partikel), dus bvb hij kan geen tmazight","B2","ontk","tarifit::cefr::B2 tarifit::woordsoort::ontk"
"Ḍuru","0,5 dirham (munt)","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"i / ɣaa","Aan (Naar)","A1","vz","tarifit::cefr::A1 tarifit::woordsoort::vz"
"umi","aan wie","C1","vraagw","tarifit::cefr::C1 tarifit::woordsoort::vraagw"
"Ɛbed","aanbidden","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḥraq / cmeḏ","Aanbranden","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"aweḏ","aankomen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḇarreḥ","aankondigen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"Arrima","Aanmeren","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"Aremmas","Aannemer","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"ḥaḏa","aanraken","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"llaḇaḇu","het aanrecht","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Dekk","Aanstampen/pletten","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ssiɣ / ccel","aansteken","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"Sbeyyen","Aantonen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"iaḏ","aantrekken","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḥarek / hǧem","de aanval","B1","znw","tarifit::cefr::B1 tarifit::woordsoort::znw"
"rqaḏ","de aap","B1","znw","tarifit::cefr::B1 tarifit::woordsoort::znw"
"baṭaṭa","aardappel (collectief)","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"anhezzi n ṯmurṯ/zzinzal","Aardbeving","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"ṯammurṯ","Aarde (Grond)","B2","znw_v_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_v_ev"
"ḍḍrif","Aardig","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"Amešmaš","Abrikoos","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"qaɛ","Absoluut, totaal, geheel","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"qbeř","accepteren","C1","vz","tarifit::cefr::C1 tarifit::woordsoort::vz"
"ṯmenya","acht","A1","telw","tarifit::cefr::A1 tarifit::woordsoort::telw"
"deffaṛ / awaṛn (i)","achter","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"aɛrua","de achterkant","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Takniyet","Achternaam","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"t̲mentac","achttien","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"Asegbar","Acteur","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Anawar","Activiteit","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Ayidar/faču","Adelaar","B1","znw_m_ev","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev"
"arr nnefs","ademen","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"azwaa","de ader of slagader","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"landris","adres","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"Wṣṣa","Adviseren/opdragen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"Amastan/abugadu","Advocaat","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Qḍew","Afbreken (draad)","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"sizeɣ","Afdrogen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"qḍa","afgemaakt zijn (eten), dun worden","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"lasnam","Afgod","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"aḏḏar","Afgrond (klif)","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"Bared","Afkoelen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"kemmeř","afmaken","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"awaṛ","Afspraak","B1","znw_m_ev","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev"
"lmasafa / lbuɛḏ","afstand","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ḍḍaa","afstappen, uitstappen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"Neffeḍ","Afstoffen/uitschudden","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"afṛaḏ","Afval","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"mseḥ / Sfaḍ","Afvegen/wissen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"syaḏ ṛeqcuɛ","(de spullen) afwassen","C2","znw","tarifit::cefr::C2 tarifit::woordsoort::znw"
"waḥḏi/waha","Alleen (zichzelf)","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"t̲aak","alleen laten (+ IO)","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"kuřci","Alles","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"mařa","als","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"zeɛma","als het ware, zogezegd","C2","znw","tarifit::cefr::C2 tarifit::woordsoort::znw"
"ɛafak","Alstublieft","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"řeḇḏa","Altijd","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"lambulans","Ambulance","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"amin","Amen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"nneɣni","ander","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"t̲acna","andere vrouw van dezelfde man","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ṯiggwḏi / ṯiwḏi","Angst","B2","znw_v_mv","tarifit::cefr::B2 tarifit::woordsoort::znw_v_mv"
"kartpustal","de ansichtkaart","C1","znw","tarifit::cefr::C1 tarifit::woordsoort::znw"
"arr","antwoorden","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"apatci","Apache helikopter","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"farmaɛia","Apotheek","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"ṯteffaḥ","Appel","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"leccin","Appelsien","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
