vorm,soort,boekpagina
ad,partikel,101
war,partikel,113
ca,partikel,113
qa,partikel,77
ṯuɣa,partikel,77
aqqa,partikel,78
d,clitic,65
n,voorzetsel,81
i,voorzetsel,84
x,voorzetsel,82
zi,voorzetsel,82
di,voorzetsel,81
s,voorzetsel,83
ɣaa,voorzetsel,82
ss-,prefix,52
mm-,prefix,53
twa-,prefix,54
-eɣ,suffix,48
-en,suffix,135
-ayi,clitic,65
-ac,clitic,65
-am,clitic,65
-as,clitic,65
-t,clitic,64
-it,clitic,64
-ten,clitic,64
-id,clitic,65
ṯa-,prefix,35
ṯi-,prefix,37
ṯe-,prefix,38
q,letter,21
ḏ,letter,21
ṯ,letter,21
ḇ,letter,21
ḵ,letter,21
ḍ,letter,21
ṣ,letter,21
ṭ,letter,21
ẓ,letter,21
ṛ,letter,21
ɣ,letter,21
ḥ,letter,21
ɛ,letter,21
ř,letter,28
ǧ,letter,28
ʷ,letter,26
